file_id,type,point_count_2m_radius,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity
10000161,clean,1321,0.014356,0.003922,0.029667,0.000000,0.207843
10000162,clean,1250,0.015021,0.003922,0.033086,0.000000,0.219608
10000163,clean,1274,0.013781,0.003922,0.028714,0.000000,0.211765
10000164,clean,1262,0.014723,0.003922,0.031381,0.000000,0.231373
10000165,clean,1327,0.014664,0.003922,0.030834,0.000000,0.203922
10000166,clean,1325,0.013490,0.003922,0.028761,0.000000,0.219608
10000167,clean,1340,0.014697,0.003922,0.031899,0.000000,0.219608
10000168,clean,1350,0.015588,0.003922,0.033722,0.000000,0.231373
10000169,clean,1321,0.015208,0.003922,0.032814,0.000000,0.219608
10000170,clean,1258,0.013909,0.003922,0.029849,0.000000,0.219608
10000171,clean,1339,0.015083,0.003922,0.032481,0.000000,0.223529
10000172,clean,1350,0.014603,0.003922,0.033023,0.000000,0.219608
10000173,clean,1271,0.014576,0.003922,0.031084,0.000000,0.211765
10000174,clean,1235,0.015607,0.003922,0.032861,0.000000,0.223529
10000175,clean,1343,0.014454,0.003922,0.031369,0.000000,0.219608
10000176,clean,1337,0.013915,0.003922,0.030585,0.000000,0.211765
10000177,clean,1347,0.015319,0.003922,0.033809,0.000000,0.223529
10000178,clean,1304,0.014688,0.003922,0.031425,0.000000,0.227451
10000179,clean,1324,0.014679,0.003922,0.031229,0.000000,0.219608
10000180,clean,1242,0.014426,0.003922,0.031554,0.000000,0.223529
10000181,clean,1302,0.014843,0.003922,0.031821,0.000000,0.227451
10000182,clean,1312,0.015665,0.003922,0.032905,0.000000,0.231373
10000183,clean,1281,0.015215,0.003922,0.032075,0.000000,0.211765
10000184,clean,1327,0.014847,0.003922,0.031650,0.000000,0.215686
10000185,clean,1269,0.015751,0.003922,0.033186,0.000000,0.223529
10000186,clean,1285,0.015647,0.003922,0.033404,0.000000,0.223529
10000187,clean,1256,0.015774,0.003922,0.033447,0.000000,0.219608
10000188,clean,1251,0.015815,0.003922,0.035278,0.000000,0.239216
10000189,clean,1282,0.017005,0.003922,0.036617,0.000000,0.223529
10000190,clean,1294,0.015050,0.003922,0.033582,0.000000,0.219608
10000191,clean,1244,0.013855,0.003922,0.030480,0.000000,0.223529
10000192,clean,1274,0.014692,0.003922,0.031890,0.000000,0.231373
10000193,clean,1248,0.015623,0.003922,0.032963,0.000000,0.227451
10000194,clean,1283,0.014418,0.003922,0.031862,0.000000,0.219608
10000195,clean,1243,0.014210,0.003922,0.031366,0.000000,0.223529
10000196,clean,1306,0.015374,0.003922,0.033052,0.000000,0.227451
10000197,clean,1302,0.014301,0.003922,0.031056,0.000000,0.215686
10000198,clean,1307,0.015812,0.003922,0.034055,0.000000,0.215686
10000199,clean,1256,0.016092,0.003922,0.033951,0.000000,0.219608
10000200,clean,1397,0.015411,0.003922,0.032059,0.000000,0.384314
10000201,clean,1384,0.016746,0.003922,0.033649,0.000000,0.215686
10000202,clean,1263,0.016276,0.003922,0.032209,0.000000,0.211765
10000203,clean,1302,0.015894,0.003922,0.032110,0.000000,0.215686
10000204,clean,1256,0.016464,0.003922,0.033101,0.000000,0.215686
10000205,clean,1289,0.025154,0.003922,0.093997,0.000000,0.996078
10000206,clean,1326,0.016786,0.003922,0.036297,0.000000,0.364706
10000207,clean,1318,0.017352,0.003922,0.033821,0.000000,0.262745
10000208,clean,1295,0.015459,0.003922,0.031710,0.000000,0.211765
10000209,clean,1343,0.016562,0.003922,0.032621,0.000000,0.207843
10000210,clean,1333,0.016057,0.003922,0.033469,0.000000,0.235294
10000211,clean,1395,0.016979,0.003922,0.034491,0.000000,0.215686
10000212,clean,1345,0.024774,0.003922,0.094400,0.000000,0.996078
10000213,clean,1393,0.024270,0.003922,0.090444,0.000000,0.996078
10000214,clean,1355,0.016557,0.003922,0.035430,0.000000,0.447059
10000215,clean,1375,0.016106,0.003922,0.032276,0.000000,0.215686
10000216,clean,1294,0.015965,0.003922,0.031829,0.000000,0.219608
10000217,clean,1355,0.016685,0.003922,0.032787,0.000000,0.219608
10000218,clean,1342,0.017542,0.003922,0.035022,0.000000,0.219608
10000219,clean,1417,0.016741,0.003922,0.033306,0.000000,0.223529
10000220,clean,1346,0.014978,0.003922,0.029388,0.000000,0.203922
10000221,clean,1332,0.014444,0.003922,0.029516,0.000000,0.219608
10000222,clean,1331,0.020848,0.003922,0.072952,0.000000,0.996078
10000223,clean,1386,0.024987,0.003922,0.094750,0.000000,0.996078
10000224,clean,1374,0.017741,0.003922,0.038499,0.000000,0.454902
10000225,clean,1339,0.018530,0.003922,0.036916,0.000000,0.345098
10000226,clean,1403,0.017587,0.003922,0.042271,0.000000,0.996078
10000227,clean,1456,0.016869,0.003922,0.032985,0.000000,0.219608
10000228,clean,1374,0.017008,0.003922,0.034207,0.000000,0.219608
10000229,clean,1307,0.023796,0.003922,0.087622,0.000000,0.996078
10000230,clean,1478,0.016121,0.003922,0.033598,0.000000,0.219608
10000231,clean,1342,0.016198,0.003922,0.033413,0.000000,0.219608
10000232,clean,1391,0.014561,0.003922,0.031072,0.000000,0.219608
10000233,clean,1344,0.015928,0.003922,0.032640,0.000000,0.219608
10000234,clean,1288,0.015181,0.003922,0.030024,0.000000,0.203922
10000235,clean,1306,0.015413,0.003922,0.030669,0.000000,0.203922
10000236,clean,1361,0.015784,0.003922,0.030469,0.000000,0.219608
10000237,clean,1347,0.016210,0.003922,0.031090,0.000000,0.207843
10000238,clean,1336,0.017673,0.003922,0.034244,0.000000,0.219608
10000239,clean,1209,0.017597,0.003922,0.037190,0.000000,0.341176
10000240,clean,1347,0.016382,0.003922,0.031311,0.000000,0.211765
10000241,clean,1411,0.033254,0.003922,0.131361,0.000000,0.996078
10000242,clean,1350,0.024718,0.003922,0.097479,0.000000,0.996078
10000243,clean,1354,0.016625,0.003922,0.038551,0.000000,0.400000
10000244,clean,1322,0.015259,0.003922,0.030662,0.000000,0.247059
10000245,clean,1357,0.015374,0.003922,0.032488,0.000000,0.380392
10000246,clean,1288,0.015196,0.003922,0.032089,0.000000,0.341176
10000247,clean,1384,0.015910,0.003922,0.035518,0.000000,0.349020
10000248,clean,1368,0.015359,0.003922,0.032945,0.000000,0.325490
10000249,clean,1324,0.014688,0.003922,0.029939,0.000000,0.219608
10000250,clean,1350,0.013920,0.003922,0.031598,0.000000,0.478431
10000251,clean,1284,0.014544,0.003922,0.029666,0.000000,0.215686
10000252,clean,1294,0.014953,0.003922,0.030027,0.000000,0.211765
10000253,clean,1306,0.015933,0.003922,0.034178,0.000000,0.345098
10000254,clean,1287,0.014513,0.003922,0.029463,0.000000,0.215686
10000255,clean,1250,0.015263,0.003922,0.032116,0.000000,0.215686
10000256,clean,1236,0.015080,0.003922,0.030848,0.000000,0.207843
10000257,clean,1329,0.015742,0.003922,0.032833,0.000000,0.215686
10000258,clean,1308,0.015033,0.003922,0.031272,0.000000,0.203922
10000259,clean,1340,0.015970,0.003922,0.033951,0.000000,0.211765
10000260,clean,1343,0.013940,0.003922,0.030060,0.000000,0.211765
10000261,clean,1286,0.019458,0.003922,0.059489,0.000000,0.988235
10000262,clean,1311,0.018606,0.003922,0.073016,0.000000,0.996078
10000263,clean,1309,0.023538,0.003922,0.102225,0.000000,0.996078
10000264,clean,1329,0.021417,0.003922,0.086821,0.000000,0.996078
10000265,clean,1285,0.013944,0.003922,0.030261,0.000000,0.207843
10000266,clean,1255,0.013649,0.003922,0.028968,0.000000,0.215686
10000267,clean,1273,0.016108,0.003922,0.042131,0.000000,0.996078
10000268,clean,1302,0.014385,0.003922,0.039574,0.000000,0.996078
10000269,clean,1277,0.014277,0.003922,0.030638,0.000000,0.207843
10000270,clean,1265,0.014049,0.003922,0.029886,0.000000,0.207843
10000271,clean,1302,0.014804,0.003922,0.032559,0.000000,0.243137
10000272,clean,1310,0.013818,0.003922,0.029919,0.000000,0.239216
10000273,clean,1317,0.014590,0.003922,0.032198,0.000000,0.223529
10000274,clean,1297,0.013122,0.003922,0.028035,0.000000,0.219608
10000275,clean,1323,0.016611,0.003922,0.035882,0.000000,0.235294
10000276,clean,1350,0.014277,0.003922,0.031690,0.000000,0.211765
10000277,clean,1317,0.013444,0.003922,0.029160,0.000000,0.219608
10000278,clean,1350,0.014556,0.003922,0.032270,0.000000,0.231373
10000279,clean,1305,0.016071,0.003922,0.035623,0.000000,0.227451
10000280,clean,1323,0.014676,0.003922,0.033829,0.000000,0.223529
10000281,clean,1342,0.014681,0.003922,0.031946,0.000000,0.223529
10000282,clean,1400,0.015412,0.003922,0.033320,0.000000,0.227451
10000283,clean,1343,0.015412,0.003922,0.034049,0.000000,0.215686
10000284,clean,1276,0.014918,0.003922,0.032978,0.000000,0.219608
10000285,clean,1336,0.014183,0.003922,0.031144,0.000000,0.215686
10000286,clean,1311,0.014349,0.003922,0.031666,0.000000,0.227451
10000287,clean,1348,0.013871,0.003922,0.031972,0.000000,0.231373
10000288,clean,1320,0.016521,0.003922,0.036017,0.000000,0.223529
10000289,clean,1355,0.014728,0.003922,0.033263,0.000000,0.231373
10000290,clean,1329,0.015314,0.003922,0.034823,0.000000,0.227451
10000291,clean,1282,0.014579,0.003922,0.032329,0.000000,0.215686
10000292,clean,1356,0.014937,0.003922,0.032635,0.000000,0.215686
10000293,clean,1284,0.016395,0.003922,0.036442,0.000000,0.227451
10000294,clean,1378,0.014235,0.003922,0.031555,0.000000,0.207843
10000295,clean,1317,0.015877,0.003922,0.035076,0.000000,0.254902
10000296,clean,1303,0.015166,0.003922,0.033806,0.000000,0.223529
10000297,clean,1278,0.015398,0.003922,0.033630,0.000000,0.231373
10000298,clean,1258,0.014679,0.003922,0.032453,0.000000,0.215686
10000299,clean,1272,0.015464,0.003922,0.034160,0.000000,0.231373
10000300,clean,1276,0.014386,0.003922,0.031184,0.000000,0.239216
10000301,clean,1343,0.014974,0.003922,0.033581,0.000000,0.235294
10000302,clean,1313,0.015340,0.003922,0.035145,0.000000,0.223529
10000303,clean,1301,0.014194,0.003922,0.032536,0.000000,0.247059
